번호,커멘트
625,지금도 좋지만 즐길수 있는 것들이 조금 더 늘어나면 좋겠습니다.
626,홍보가 부족한듯 하여 정보가 많이 없네요 관광홍보에 좀 주력해야 할듯
628,생각보다 먹거리가 부족했고 너무 한정적이고 비쌌어요 
629,평창은 언제가도 너무 좋은데 올림픽 말고는 홍보가 덜된거 같아요 정말 공기도 좋고  힐링하기 좋은데 아쉬워요
630,교통이 아직도 불편해요
631,"가는길 고속도로가 막혀요 도로개선.
올림픽 이후로 잠잠해지는듯 해서 더 풍요로운 지역축제 및 sns홍보이벤트 필요하다고 생각합니다"
632,더 많은 홍보가  있어야 될뜻
634,"아이들의 체험이 가능한 체험형 박물관 또는 재래시장 체험등의 콘텐츠가 조금더 생겼으면 좋겠습니다..
커피거리 같은 강원도 특징을 살린 이색거리도 또 생겼으면 해요~ "
635,대중교통으로도 갈수있으면 더 좋을듯 합니다
636,코로나 끝나고 강원도로 여행간다면 평창을 가고 싶어요 사계절 즐길거리 많게 해주세요
637,다른 지역과 차별화된 상품 개발 필요
638,많이 알려지면 좋겠습니다
639,"조용하고 좋은데 놀거리가조금부족한것같아요
체험할수있는것이 많았음좋겠어요"
640,"
더 많은 사람들이 즐겁게 즐길수있는 놀거리, 맛있는 음식이 있으면 더더욱 사랑받는 평창이 될것같아요 "
641,아름다운 자연을 더 많이 홍보하고 알려주세요
642,다양한 연령층을 위한 체험위주의 콘텐츠 개발이 필요할듯
643,서울방향으로 오는 길이 항상 막히네요 일찍출발해도 막히고 늦게출발해도 막히고 교통편의성이 좋아졌음 좋겠네요
644,다양한 평창 더 많이 소개되었으면  좋겠습니다
645,평창 기차여행으로도 가보고 싶어요 근데 홍보가 부족한듯 싶어요
646,대중교통을 이용해서 여행하기에는 다소 어려움이 있지 않나 싶어요. 또 평창을 떠올리면 대관령목장 외에는 크게 떠오르는 곳이 없어서 아쉬워요. 
647,숙박 업소들의 인식 개선
648,좀더 즐길수 있는 것과 캠핑장이 더 많아지면 좋겠어요
649,바가지 요금 관리 단속 필요함    나쁜상인  몇몇이 평창 이미지 훼손함
652,좀더 다른 스팟을 만들어야할듯합니다
653,많은 관광지 개발 이벤트가 있었으면 좋겠다.
655,더욱더 홍보가 많이 이루어지고 자연친화적이고 맛있는 음식과 함께 다양한 행사가 많이 열리면 좋을 것 같습니다!
656,"평창 시내도 잘 정비 되어있고 맛집도 많고 가족과 힐링하기 좋은곳 이라 생각합니다만, 아직도 숙박시설의 바가지 요금이 성행하고 있는관계로 대형호텔이나 리조트를 이용하게 됩니다. 지역적으로 숙박요금을 약속하여 오픈한다면 자주 이용하고 싶어요 "
657,아이들 체함학습이나 축제 먹거리 이런것들이 다양하게 이루어졌음 좋겠습니다.
658,접근성이 좋아졌으면 좋겠습니다
659,대중교통의 활성화
660,먹거리개발
661,교통이 불편 
662,"
전국에 여행다니다보면 정말 지역마다 먹거리들이 개발이 잘 된곳들이 인기가 많았습니다. 평창에 이미 있는 메밀 맛집들을 중심으로 좀더 붐을 만들고 여기에 더해서 특색있는 간식거리 3-5가지 정도가 근처에 몰려있다면 그곳을 반드시 들리게 될 것 같습니다. 간식거리는 봉평꽃음료, 봉평주스, 평창음료수, 올림픽쿠키, 동계호떡. 가령 이런식으로 평창을 딱 떠올릴수있는 어떤 시그니처들이 많을수록 여기에 꼭 와야할 이유가 될 거 같습니다. 엄청난걸 개발한다기보다 어떤 먹거리 밀집 지역이 있으면 거기가서 한번에 다양한걸 먹고오는 코스가 되니까요. 청년들이 개발할 수 있게 해서 여기서 판매할 수 있었으면 좋겠어요!

그리고 요즘은 여행가기전에 네이버에 ＜평창 아이 여행＞ ＜봉평 아이 함께 코스＞ ＜봉평 데이트코스＞ 이런식으로 특정 키워드를 넣어서 검색하는 경우가 많으니까 평창에서 이렇게 여행객 단위별로 갈만한 곳을 더 많이 개발해서 홍보할수록 많이 올거 같아요^^
지금은 평창 아이와 함께라고 검색하면 펜션이나 호텔 위주의 코스가 많이 나오는데, 그보단 평창에서만 할 수 있는 몇가지 프로그램들이 더 나오면 좋을거 같아요! 

평창 여행 활성화를 위해서 지자체에서 ＜해피700 평창 키즈투어 이벤트＞라던가, ＜사랑이 이루어지다, 해피700 평창 연인 이벤트＞, ＜나홀로 해피 700 도전여행!＞ 등 다양한 이벤트를 만들고 할인 쿠폰이나 혜택 등을 제공하는 이벤트를 시행하는 것도 확실히 도움이 될거같아요. 평창에 꼭 가야할 이유들을 많이 만들어주어야할거같아요. 왜냐면 강원도는 강릉, 속초, 삼척 등까지 쭉 가버리는 경우가 많기 때문에 중간에 평창에 꼭 들려야할 이유를 만들어주면 좋겠어요!

여행 타겟을 주로 20-40으로 연인, 키즈가족, 나홀로족을 타겟으로 하면 더 활성화 될 것 같아요!"
663,다양한 연령대의 가족이 함께 즐길수있는 다양한 프로그램이 요구됩니다.
664,아이들이 놀수 있는 놀이시설이 많았으면 좋겠어요
665,무료 체험
666,가족단위 다양한 체험 공간 필요
667,올림픽을 치룬 평창인만큼 다양한 볼거리와 휴식을 즐기는 시설이 늘어나길 바랍니다
668,"속초에 비해서 맛집이 많이 없는게 아쉽습니다. 손에 꼽을 정도라서 다른 지역에서 식사를 하고 숙소로 들어가는 경우가 많았습니다. 더 다양한 맛집이나 재래시장이 많으면 좋을거 같습니다. 
양떼목장이나 수영장등 이미 있지만 몇 군데 없는거 같아 아쉽습니다. 더 다양한 선택지가 있으면 가족단위 관광객들이 더 많을 것으로 예상됩니다. 
그리고 5성급 호텔이 아니고서는 수영장이 모두 야외에 있는데, 평창은 날씨가 추워 한 여름에도 물놀이를 하는게 쉽지 않았습니다. 테마형 실내 수영장 (워터파크) 이 생긴다면 계절에 상관없이 물놀이를 할 수 있어서 좋을거 같습니다. "
669,교통이 편리했으면 좋겠다.
670,"1박은 그냥 펜션에서 머물렀는데 물이 잘 안나오고 뜨거운 물이 안나옴.. 성수기 바가지가 심함 숙박 업소 관리 감독을 하여야할듯 ..
2박은 휘닉스 파크에서 머물렀는데  너무 좋았음 ㅠ "
671,대중교통을 이용하기편하게해주세요
672,"숙박시설이 더 생겼으면 좋겠다.
아이들과 놀거리가 있는 장소가 더 개발되면 좋겠다."
673,너무 볼거리가 없다... ㅜ 
674,"한우 외의 특색있는 먹거리 개발과 수영장, 스키장, 양떼목장 외의 다양한 즐길거리 개발"
675,먹거리가 너무 한정됐음 메밀음식말고 다양한 메뉴의 음식점들이 생겼으면 좋겠음
676,다양한 볼거리나 먹거리 홍보
677,개발에 초점을 맞추기보다 잘 보존하면 좋겠습니다.
678,"할인혜택, 론칭한 가게 홍보"
679,적극적인 홍보로 많은이들이 평창을 더 알았으면합니다!
680,자연 그대로 유지 했으면 좋겠습니다. 다른 관광지와 다르게 평창 하면 떠오르는 이미지 자연 그대로 보존!!
681,개성이 잘 드러나는 버스 패키지 관광 상품이 있었으면 좋겠음.
683,쉽게 접근할 수 있고 관광지에 대한 정보공유가 많아야 할 것 같습니다. 또한 가족.친구. 남녀노소 누구나 즐길수 있으면 좋겠습니다.
684,숙박시설이 많이 없는게 아쉽습니다
685,평창에 좀 더 자연친화적인 힐링콘텐츠도 많아지면 좋겠습니다
686,"깔끔하고 큰 대형 숙박시설 리조트나 호텔이 생겼으면 좋겠어요.
아이들과 갈 수 있는 숲체험이나 글램핑장이 있으면좋겠어요. 
양떼목장 참 좋아했는데 그 3곳 외에 갈만 한 곳이 더 있었으면 좋겠어요^^ 
평창 관광의 도시로 발전하길 기원합니다~ "
687,아이들과 함께 놀고 즐길수 있는 체험지가 많아졌으면 좋겠습니다. 앞으로 더 훌륭한 관광지로 거듭나길 기원합니다
688,가족과 함께 즐길수있는 놀거리가 많이 생기길 기대할게요
689,핫스팟 개발로 젊은층 유입이 필요해 보임
690,가성비 좋은 숙박시설이 더 많아졌음 좋겠어요
691,지역축제 장터 체험학습등이 좀더 활성화되고 먹거리가 다양하게 맛있고 많이 있었음 좋겠습니다
692,사계절  두루 즐길 수 있는 관광거리들이  많이 개ㅏㄹ되었으면 좋겠어요
693,한우말곤 그닥할거랑 먹을것이 없음
